Mandarin (entire branch)	935
Spanish	390
English	365
Hindi	295
Arabic	280
Portuguese	205
Bengali	200
Russian	160
Japanese	125
Punjabi	95
German	92
Javanese	82
Wu (inc. Shanghainese)	80
Malaysian/Indonesian	77
Telugu	76
Vietnamese	76
Korean	76
French	75
Marathi	73
Tamil	70
Urdu	66
Turkish	63
Italian	59
Yue (incl. Cantonese)	59
Thai (excl. Lao)	56
Gujarati	49
Jin	48
Southern Min	47
Persian	45
Polish	40
Pashto	39
Kannada	38
Xiang (Hunnanese)	38
Malayalam	38
Sundanese	38
Hausa	34
Odia (Oriya)	33
Burmese	33
Hakka	31
Ukrainian	30
Bhojpuri	29
Tagalog/Filipino	28
Yoruba	28
Maithili	27
Uzbek	26
Sindhi	26
Amharic	25
Fula	24
Romanian	24
Oromo	24
Igbo	24
Azerbaijani	23
Awadhi	22
Gan Chinese	22
Cebuano (Visayan)	21
Dutch	21
Kurdish	21
Serbo-Croatian	19
Malagasy	18
Saraiki	17
Nepali	17
Sinhalese	16
Chittagonian	16
Zhuang	16
Khmer	16
Turkmen	16
Assamese	15
Madurese	15
Somali	15
Marwari	14
Magahi	14
Haryanvi	14
Hungarian	13
Chhattisgarhi	12
Greek	12
Chewa	12
Deccan	11
Akan	11
Kazakh	11
Northern Min	10.9
Sylheti	10.7
Zulu	10.4
Czech	10.0
Kinyarwanda	9.8
Dhundhari	9.6
Haitian Creole	9.6
Eastern Min	9.5
Ilocano	9.1
Quechua	8.9
Kirundi	8.8
Swedish	8.7
Hmong	8.4
Shona	8.3
Uyghur	8.2
Hiligaynon (Visayan)	8.2
Mossi	7.6
Xhosa	7.6
Belarusian	7.6
Balochi	7.6
Konkani	7.4
