Source,Target,Source.VCB,Target.VCB,Diff.in.VCB,Corpus.Size,Language.Relatedness,Sentence.Alignment.Score,11Mapping.Proportion,Translation.Entropy,Tagger,,,,,,,,,,,,,
en,da,14810,29867,15057,1000785,0.593,0.067570381,0.683505717,188.2895251,76.17,,,,,,,,,,,,,
en,nl,14810,21316,6506,1132352,0.593,0.083134989,0.761462226,162.2153511,72.97,,,,en,da,nl,pt,sv,el,it,es,de,Average
en,pt,14810,19333,4523,1121460,0.24,0.028438543,0.758891192,228.2104661,79.57,,,en,-,1000785,1132352,1121460,1061156,792732,1122016,1117322,1136452,
en,sv,14810,29403,14593,1061156,0.589,0.059646262,0.679219521,189.1184867,73.83,,,da,1141597,-,1155213,1136968,1097567,827954,1141013,1135388,1161767,
en,el,14810,34992,20182,792732,0.162,0.017558044,0.337929657,396.8985378,50.38,,,nl,1132352,1155213,-,1131621,1065468,847537,1138199,1131744,1140477,
en,it,14810,19310,4500,1122016,0.247,0.07597981,0.729299769,226.0105699,72.2,,,pt,1121460,1136968,1131621,-,1054677,842597,1125548,1126684,1124981,
en,es,14810,18496,3686,1117322,0.24,0.078510621,0.775916639,289.751048,75.37,,,sv,1061156,1097567,1065468,1054677,-,771511,1061789,1047538,1077411,
en,de,14810,29860,15050,1136452,0.578,0.059316541,0.660853464,181.795012,73.95,,,el,792732,827954,847537,842597,771511,-,835498,858128,891208,
da,en,29867,14810,-15057,1141597,0.593,0.085768766,0.687438485,728.2795517,55.73,,,it,1122016,1141013,1138199,1125548,1061789,835498,-,1127527,1131569,
da,nl,29867,21316,-8551,1155213,0.663,0.090566196,0.700592881,937.1658225,53.28,,,es,1117322,1135388,1131744,1126684,1047538,858128,1127527,-,1120264,
da,pt,29867,19333,-10534,1136968,0.25,0.029585995,0.619638326,889.6355766,50.53,,,de,1136452,1161767,1140477,1124981,1077411,891208,1131569,1120264,-,
da,sv,29867,29403,-464,1097567,0.874,0.07178373,0.709568936,565.459083,66.08,,,,,,,,,,,,,
da,el,29867,34992,5125,827954,0.183,0.017895051,0.314998724,898.2150726,34.13,,,,,,,,,,,,,1000000
da,it,29867,19310,-10557,1141013,0.263,0.079090774,0.584340436,828.5315141,46.03,,,,en,da,nl,pt,sv,el,it,es,de,Avg
da,es,29867,18496,-11371,1135388,0.25,0.07996212,0.633309976,1176.942791,50.34,,,en,-,1.00,1.13,1.12,1.06,0.79,1.12,1.12,1.14,1.06
da,de,29867,29860,-7,1161767,0.707,0.071671903,0.633930712,662.635305,53.9,,,da,1.14,-,1.16,1.14,1.10,0.83,1.14,1.14,1.16,1.10
nl,en,21316,14810,-6506,1132352,0.593,0.092315015,0.704714982,286.9851301,75.7,,,nl,1.13,1.16,-,1.13,1.07,0.85,1.14,1.13,1.14,1.09
nl,da,21316,29867,8551,1155213,0.663,0.084493618,0.662094021,312.1011249,76.31,,,pt,1.12,1.14,1.13,-,1.05,0.84,1.13,1.13,1.12,1.08
